Boom,Recession,Stable,mild,predicted,actual,index,max_proba
0.0021000032,0.9815128,0.011193507,0.0051936456,Recession,Recession,0,0.9815128
0.033537045,0.7554123,0.084368505,0.12668215,Recession,Stable,1,0.7554123
0.018152913,0.033564948,0.54820114,0.400081,Stable,Stable,2,0.54820114
0.038589027,0.048672304,0.72380126,0.18893746,Stable,Stable,3,0.72380126
0.0027635754,0.8523391,0.0076750577,0.13722223,Recession,Recession,4,0.8523391
0.01598123,0.029731052,0.82539654,0.12889117,Stable,mild,5,0.82539654
0.025432462,0.015873423,0.56959957,0.3890945,Stable,Stable,6,0.56959957
0.067281865,0.041993327,0.35441878,0.536306,mild,mild,7,0.536306
0.029379092,0.026691878,0.783361,0.160568,Stable,mild,8,0.783361
0.017832039,0.011129694,0.6569004,0.3141379,Stable,Stable,9,0.6569004
0.023599036,0.044683147,0.6915693,0.24014851,Stable,Stable,10,0.6915693
0.9215657,0.04481173,0.015656987,0.017965572,Boom,mild,11,0.9215657
0.020017445,0.012493696,0.52984357,0.43764532,Stable,Stable,12,0.52984357
0.026613016,0.010912834,0.9214705,0.041003603,Stable,Stable,13,0.9214705
0.9590307,0.0021850336,0.030258399,0.008525883,Boom,Boom,14,0.9590307
0.036899365,0.6445602,0.04186862,0.27667174,Recession,mild,15,0.6445602
0.055448312,0.03460753,0.22404978,0.68589437,mild,mild,16,0.68589437
0.012464375,0.007779522,0.93200904,0.047747,Stable,Stable,17,0.93200904
0.02284896,0.019798217,0.8282299,0.1291229,Stable,Stable,18,0.8282299
0.042395454,0.17768534,0.12386831,0.6560509,mild,mild,19,0.6560509
0.040223695,0.076699845,0.1856555,0.69742095,mild,mild,20,0.69742095
0.031129137,0.11833269,0.14505985,0.7054783,mild,Recession,21,0.7054783
0.020967739,0.04345418,0.7342463,0.20133172,Stable,Stable,22,0.7342463
0.03163501,0.36465204,0.06869695,0.535016,mild,mild,23,0.535016
0.019324834,0.045658275,0.83088785,0.10412908,Stable,Stable,24,0.83088785
0.037107848,0.35011744,0.1921497,0.42062503,mild,Recession,25,0.42062503
0.96678644,0.002202704,0.025129415,0.005881422,Boom,Boom,26,0.96678644
0.0021087788,0.9856145,0.005225214,0.0070515675,Recession,Recession,27,0.9856145
0.0121527985,0.010530182,0.920301,0.057016075,Stable,Stable,28,0.920301
0.015810328,0.009867864,0.53458625,0.4397356,Stable,Stable,29,0.53458625
0.021374358,0.013340595,0.29063442,0.67465055,mild,mild,30,0.67465055
0.016812468,0.022294056,0.9170743,0.043819144,Stable,Stable,31,0.9170743
0.022998648,0.18452716,0.7487156,0.043758564,Stable,Stable,32,0.7487156
0.90347594,0.002058459,0.084790014,0.009675555,Boom,Boom,33,0.90347594
0.021175941,0.008683331,0.9058924,0.06424836,Stable,Stable,34,0.9058924
0.019678093,0.08559241,0.661408,0.23332149,Stable,Stable,35,0.661408
0.03691275,0.03398136,0.055874843,0.873231,mild,mild,36,0.873231
0.014054306,0.012768803,0.8414878,0.13168909,Stable,Stable,37,0.8414878
0.9511299,0.0021670326,0.029239472,0.01746365,Boom,Boom,38,0.9511299
