Date,Actual_Encoded,Predicted_Encoded,Actual_Regime,Predicted_Regime
1987-07-01,2,2,Stable,Stable
1981-01-01,3,0,mild,Boom
2014-10-01,3,3,mild,mild
2022-04-01,2,2,Stable,Stable
1999-10-01,0,0,Boom,Boom
1983-10-01,0,0,Boom,Boom
2016-04-01,2,2,Stable,Stable
2021-07-01,2,2,Stable,Stable
2012-10-01,2,2,Stable,Stable
1979-01-01,1,1,Recession,Recession
1979-07-01,2,3,Stable,mild
2015-10-01,1,3,Recession,mild
2016-10-01,3,3,mild,mild
2009-01-01,1,1,Recession,Recession
1990-10-01,1,1,Recession,Recession
1997-04-01,0,0,Boom,Boom
1999-04-01,2,2,Stable,Stable
2005-04-01,2,2,Stable,Stable
2022-07-01,3,2,mild,Stable
1993-01-01,3,2,mild,Stable
1984-01-01,0,0,Boom,Boom
2019-04-01,2,2,Stable,Stable
2014-07-01,2,2,Stable,Stable
1986-07-01,2,2,Stable,Stable
2023-04-01,3,2,mild,Stable
2010-01-01,2,2,Stable,Stable
2009-04-01,1,1,Recession,Recession
2002-10-01,3,3,mild,mild
1984-07-01,2,2,Stable,Stable
1995-07-01,2,2,Stable,Stable
2007-10-01,3,3,mild,mild
1978-01-01,1,1,Recession,Recession
2003-04-01,2,2,Stable,Stable
1981-07-01,2,2,Stable,Stable
1987-10-01,0,0,Boom,Boom
2001-04-01,3,1,mild,Recession
2016-07-01,2,2,Stable,Stable
2005-01-01,2,2,Stable,Stable
2004-04-01,2,2,Stable,Stable
1984-10-01,2,2,Stable,Stable
1991-07-01,3,2,mild,Stable
1977-10-01,2,2,Stable,Stable
2023-07-01,2,2,Stable,Stable
1995-01-01,2,2,Stable,Stable
2007-07-01,3,3,mild,mild
2013-07-01,3,2,mild,Stable
2007-04-01,2,2,Stable,Stable
2001-10-01,1,1,Recession,Recession
2008-04-01,3,3,mild,mild
